"dados_id";"dados_licenca";"dados_versao"
"ctb0675";"CC BY-NC";"3.0.0"
"ctb0676";"CC BY-NC";"3.0.0"
"ctb0677";"CC BY-NC";"3.0.1"
"ctb0678";"CC BY-NC";"3.0.0"
"ctb0679";"CC BY-NC";"3.0.0"
"ctb0680";"CC BY-NC";"3.0.0"
"ctb0681";"CC BY-NC";"3.0.0"
"ctb0682";"CC BY-NC";"3.0.0"
"ctb0683";"CC BY-NC";"3.0.0"
"ctb0684";"CC BY-NC";"4.1.0"
"ctb0685";"CC BY-NC";"3.0.0"
"ctb0686";"CC BY-NC";"3.0.0"
"ctb0687";"CC BY-NC";"3.0.0"
"ctb0688";"CC BY-NC";"3.0.0"
"ctb0689";"CC BY-NC";"3.0.0"
"ctb0690";"CC BY-NC";"3.0.0"
"ctb0691";"CC BY-NC";"3.0.0"
"ctb0693";"CC BY-NC";"3.0.0"
"ctb0694";"CC BY-NC";"3.0.0"
"ctb0695";"CC BY-NC";"3.0.0"
"ctb0696";"CC BY-NC";"3.0.0"
"ctb0697";"CC BY-NC";"3.0.0"
"ctb0698";"CC BY-NC";"3.0.0"
"ctb0699";"CC BY-NC";"3.0.0"
"ctb0700";"CC BY-NC";"3.0.0"
"ctb0701";"CC BY-NC";"3.0.0"
"ctb0702";"CC BY-NC";"3.0.0"
"ctb0703";"CC BY-NC";"3.0.0"
"ctb0704";"CC BY-NC";"4.1.0"
"ctb0705";"CC BY-NC";"3.0.0"
"ctb0706";"CC BY-NC";"3.0.0"
"ctb0707";"CC BY-NC";"3.0.0"
"ctb0709";"CC BY-NC";"3.0.0"
"ctb0710";"CC BY-NC";"3.0.0"
"ctb0711";"CC BY-NC";"3.0.0"
"ctb0713";"CC BY-NC";"3.0.0"
"ctb0714";"CC BY-NC";"3.0.0"
"ctb0717";"CC BY-NC";"3.0.0"
"ctb0718";"CC BY-NC";"3.0.0"
"ctb0750";"CC BY-NC";"3.0.0"
"ctb0751";"CC BY-NC";"3.0.0"
"ctb0752";"CC BY-NC";"3.0.0"
"ctb0753";"CC BY-NC";"3.0.0"
"ctb0754";"CC BY-NC";"3.0.0"
"ctb0756";"CC BY-NC";"3.0.0"
"ctb0757";"CC BY-NC";"3.0.0"
"ctb0758";"CC BY-NC";"3.0.0"
"ctb0759";"CC BY-NC";"3.0.1"
"ctb0760";"CC BY-NC";"3.0.0"
"ctb0761";"CC BY-NC";"3.0.0"
"ctb0762";"CC BY-NC";"3.0.0"
"ctb0763";"CC BY-NC";"3.0.0"
"ctb0764";"CC BY-NC";"3.0.0"
"ctb0765";"CC BY-NC";"3.0.0"
"ctb0766";"CC BY-NC";"3.0.0"
"ctb0767";"CC BY-NC";"4.1.0"
"ctb0768";"CC BY-NC";"3.0.0"
"ctb0769";"CC BY-NC";"3.0.0"
"ctb0770";"CC BY-NC";"3.0.0"
"ctb0771";"CC BY-NC";"3.0.0"
"ctb0772";"CC BY-NC";"3.0.0"
"ctb0773";"CC BY-NC";"4.0.0"
"ctb0774";"CC BY-NC";"3.0.0"
"ctb0775";"CC BY-NC";"3.0.0"
"ctb0776";"CC BY-NC";"3.0.0"
"ctb0777";"CC BY-NC";"3.0.0"
"ctb0778";"CC BY-NC";"3.0.0"
"ctb0779";"CC BY-NC";"3.0.0"
"ctb0780";"CC BY-NC";"3.0.0"
"ctb0781";"CC BY-NC";"3.0.0"
"ctb0782";"CC BY-NC";"3.0.0"
"ctb0783";"CC BY-NC";"3.0.0"
"ctb0784";"CC BY-NC";"3.0.0"
"ctb0785";"CC BY-NC";"3.0.0"
"ctb0787";"CC BY-NC";"3.0.0"
"ctb0788";"CC BY-NC";"3.0.0"
"ctb0789";"CC BY-NC";"3.0.0"
"ctb0791";"CC BY-NC";"3.0.0"
"ctb0792";"CC BY-NC";"3.0.0"
"ctb0793";"CC BY-NC";"3.0.0"
"ctb0794";"CC BY-NC";"3.0.0"
"ctb0795";"CC BY-NC";"3.0.0"
"ctb0796";"CC BY-NC";"3.0.0"
"ctb0797";"CC BY-NC";"4.0.1"
"ctb0798";"CC BY-NC";"3.0.0"
"ctb0799";"CC BY-NC";"3.0.0"
"ctb0800";"CC BY-NC";"3.0.0"
"ctb0801";"CC BY-NC";"3.0.0"
"ctb0802";"CC BY-NC";"3.0.0"
"ctb0803";"CC BY-NC";"4.1.0"
"ctb0804";"CC BY-NC";"5.0.1"
"ctb0805";"CC BY-NC";"3.0.0"
"ctb0807";"CC BY-NC";"3.0.0"
"ctb0808";"CC BY-NC";"3.0.0"
"ctb0809";"CC BY-NC";"3.0.0"
"ctb0810";"CC BY-NC";"3.0.0"
"ctb0811";"CC BY-NC";"3.0.0"
"ctb0813";"CC BY-NC";"3.0.0"
"ctb0814";"CC BY-NC";"3.0.0"
"ctb0815";"CC BY-NC";"3.0.0"
"ctb0817";"CC BY-NC";"3.0.0"
"ctb0818";"CC BY-NC";"3.0.0"
"ctb0819";"CC BY-NC";"3.0.0"
"ctb0820";"CC BY-NC";"3.0.0"
"ctb0821";"CC BY-NC";"3.0.0"
"ctb0822";"CC BY-NC";"3.0.0"
"ctb0826";"CC BY-NC";"3.0.0"
"ctb0827";"CC BY-NC";"3.0.1"
"ctb0829";"CC BY-NC";"3.0.1"
"ctb0831";"CC BY-NC";"3.1.0"
"ctb0832";"CC BY-NC";"3.0.0"
"ctb0838";"CC BY-NC";"4.0.0"
